box_x,box_y,timestamp,density
22,8,100,7
22,8,101,2
22,8,103,4
22,8,104,1
22,8,105,2
22,8,107,2
22,8,109,2
22,8,110,4
22,8,112,1
22,8,115,4
22,8,117,4
22,8,119,1
22,8,120,7
22,8,122,5
22,8,123,2
22,8,124,6
22,8,125,9
22,8,126,4
22,8,128,2
22,8,129,3
22,8,130,2
22,8,131,3
22,8,132,3
22,8,133,1
22,8,135,3
22,8,136,1
22,8,138,1
22,8,139,1
22,9,2,1
22,9,9,2
22,9,28,1
22,9,40,1
22,9,45,1
22,9,47,1
22,9,49,4
22,9,56,2
22,9,57,2
22,9,59,1
22,9,62,3
22,9,64,1
22,9,65,3
22,9,66,2
22,9,68,1
22,9,70,1
22,9,71,1
22,9,72,6
22,9,73,1
22,9,75,1
